c,x
-2, 0.720443
-1.93939, 0.714297
-1.87879, 0.707774
-1.81818, 0.700838
-1.75758, 0.693449
-1.69697, 0.685561
-1.63636, 0.677124
-1.57576, 0.66808
-1.51515, 0.658364
-1.45455, 0.647905
-1.39394, 0.636621
-1.33333, 0.624419
-1.27273, 0.6112
-1.21212, 0.59685
-1.15152, 0.581245
-1.09091, 0.564252
-1.0303, 0.545726
-0.969697, 0.525517
-0.909091, 0.503474
-0.848485, 0.479447
-0.787879, 0.453299
-0.727273, 0.42491
-0.666667, 0.394191
-0.606061, 0.361088
-0.545455, 0.325591
-0.484848, 0.287735
-0.424242, 0.247598
-0.363636, 0.205297
-0.30303, 0.160977
-0.242424, 0.114804
-0.181818, 0.066952
-0.121212, 0.0175976
-0.060606, -0.0330905
0, -0.0849527
0.060606, -0.137844
0.121212, -0.191635
0.181818, -0.246208
0.242424, -0.301463
0.30303, -0.35731
0.363636, -0.413675
0.424242, -0.470489
0.484848, -0.527696
0.545455, -0.585247
0.606061, -0.643101
0.666667, -0.701219
0.727273, -0.759572
0.787879, -0.81813
0.848485, -0.876873
0.909091, -0.935777
0.969697, -0.994827
1.0303, -1.05401
1.09091, -1.1133
1.15152, -1.1727
1.21212, -1.23219
1.27273, -1.29177
1.33333, -1.35142
1.39394, -1.41114
1.45455, -1.47092
1.51515, -1.53076
1.57576, -1.59066
1.63636, -1.6506
1.69697, -1.71058
1.75758, -1.7706
1.81818, -1.83066
1.87879, -1.89075
1.93939, -1.95088
2, -2.01103
2.06061, -2.07121
2.12121, -2.13141
2.18182, -2.19163
2.24242, -2.25188
2.30303, -2.31215
2.36364, -2.37243
2.42424, -2.43273
2.48485, -2.49304
2.54545, -2.55337
2.60606, -2.61372
2.66667, -2.67408
2.72727, -2.73444
2.78788, -2.79482
2.84848, -2.85521
2.90909, -2.91561
2.9697, -2.97602
3.0303, -3.03644
3.09091, -3.09687
3.15152, -3.1573
3.21212, -3.21774
3.27273, -3.27819
3.33333, -3.33865
3.39394, -3.39911
3.45455, -3.45957
3.51515, -3.52005
3.57576, -3.58052
3.63636, -3.64101
3.69697, -3.70149
3.75758, -3.76199
3.81818, -3.82248
3.87879, -3.88298
3.93939, -3.94349
4, nan
